method,roi,split,threshold,TP,FP,FN,TN,Dice,IoU,FNR,FDR,precision,recall
nnunet_entropy_spatch_fold0,Y00039K4-18128_21684_256_256,held-out,0.571,36602,4043,3150,21741,0.9105314874933145,0.8357575065646763,0.0792412960354196,0.09947102964694304,0.9005289703530569,0.9207587039645804
nnunet_entropy_spatch_fold0,Y00039K4-22336_15020_256_256,train,0.571,40324,1110,1063,23039,0.9737626930367902,0.9488669788455656,0.025684393650180007,0.026789593087802287,0.9732104069121977,0.97431560634982
nnunet_entropy_spatch_fold0,Y00039K4-25600_35742_256_256,train,0.571,38195,616,776,25949,0.9821038286493019,0.9648369414201632,0.01991224243668369,0.01587178892582,0.98412821107418,0.9800877575633163
nnunet_entropy_spatch_fold0,Y00039K4-32120_41380_256_256,train,0.571,38487,981,974,25094,0.9752309037235997,0.9516591662133426,0.024682598008159955,0.024855579203405292,0.9751444207965947,0.97531740199184
nnunet_entropy_spatch_fold0,Y00039K4-36254_18994_256_256,train,0.571,45074,1471,1371,17620,0.9694375739326809,0.9406878704399365,0.029518785660458607,0.03160382425609625,0.9683961757439038,0.9704812143395414
