dataset,pool_candidates,eligible_candidates,selected_budget,entropy_error_spearman_rho,high_entropy_mean_pixel_error,random_mean_pixel_error
BBBC039,600,600,20,0.468489,0.148151,0.106613
SPATCH_DAPI,750,747,20,0.225995,0.248917,0.206592
