method,aggregation,Dice,IoU,FNR,FDR,precision,recall,roi_count,roi_meeting_both_10pct,TP,FP,FN,TN
cellpose_zero_shot,macro,0.9152177277112239,0.8438556805772827,0.05703317018115388,0.10763502934021026,0.8923649706597898,0.9429668298188462,5,1,,,,
cellpose_zero_shot,pooled,0.9149909735578341,0.8433026373597693,0.0589760018639329,0.10964044107853899,0.890359558921461,0.9410239981360671,,,193866,23873,12150,97791
cellpose_finetuned_loo,macro,0.9259047998836799,0.8623207210978603,0.06609932478141523,0.07954946311258759,0.9204505368874123,0.9339006752185848,5,2,,,,
cellpose_finetuned_loo,pooled,0.9255735681289962,0.8614583006090091,0.0682713963963964,0.08050068021996973,0.9194993197800303,0.9317286036036037,,,191951,16805,14065,104859
nnunet_loo,macro,0.9129999732274239,0.8401448260543102,0.08382491217092733,0.08729034035868237,0.9127096596413175,0.9161750878290726,5,2,,,,
nnunet_loo,pooled,0.9127597849921409,0.8395198893425251,0.08672627368748058,0.08775357821651604,0.9122464217834839,0.9132737263125195,,,188149,18099,17867,103565
